initial state: #.##.###.#.##...##..#..##....#.#.#.#.##....##..#..####..###.####.##.#..#...#..######.#.....#..##...#

.#.#. => .
...#. => #
..##. => .
....# => .
##.#. => #
.##.# => #
.#### => #
#.#.# => #
#..#. => #
##..# => .
##### => .
...## => .
.#... => .
###.. => #
#..## => .
#...# => .
.#..# => #
.#.## => .
#.#.. => #
..... => .
####. => .
##.## => #
..### => #
#.... => .
###.# => .
.##.. => #
#.### => #
..#.# => .
.###. => #
##... => #
#.##. => #
..#.. => #
